 
****************************************
Report : area
Design : enigma_part2
Version: R-2020.09-SP5
Date   : Tue Oct 26 02:48:46 2021
****************************************

Library(s) Used:

    saed32hvt_ss0p95v125c (File: /usr/cadtool/SAED32_EDK/lib/stdcell_hvt/db_nldm/saed32hvt_ss0p95v125c.db)

Number of ports:                          377
Number of nets:                         11467
Number of cells:                        10102
Number of combinational cells:           8673
Number of sequential cells:              1310
Number of macros/black boxes:               0
Number of buf/inv:                       1410
Number of references:                     160

Combinational area:              18090.224063
Buf/Inv area:                     1871.770559
Noncombinational area:            8482.310403
Macro/Black Box area:                0.000000
Net Interconnect area:            6991.812966

Total cell area:                 26572.534466
Total area:                      33564.347432

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
--------------------------------  ----------  -------  ----------  ---------  ------  ----------------------------------------------
enigma_part2                      26572.5345    100.0  17673.9362  7887.6134  0.0000  enigma_part2
clk_gate_rotorA_table_reg_0_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_0
clk_gate_rotorA_table_reg_10_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_111
clk_gate_rotorA_table_reg_11_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_110
clk_gate_rotorA_table_reg_13_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_109
clk_gate_rotorA_table_reg_15_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_108
clk_gate_rotorA_table_reg_16_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_107
clk_gate_rotorA_table_reg_18_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_106
clk_gate_rotorA_table_reg_1_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_116
clk_gate_rotorA_table_reg_20_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_105
clk_gate_rotorA_table_reg_21_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_104
clk_gate_rotorA_table_reg_23_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_103
clk_gate_rotorA_table_reg_25_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_102
clk_gate_rotorA_table_reg_26_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_101
clk_gate_rotorA_table_reg_28_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_100
clk_gate_rotorA_table_reg_30_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_99
clk_gate_rotorA_table_reg_31_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_98
clk_gate_rotorA_table_reg_33_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_97
clk_gate_rotorA_table_reg_35_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_96
clk_gate_rotorA_table_reg_36_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_95
clk_gate_rotorA_table_reg_38_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_94
clk_gate_rotorA_table_reg_3_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_115
clk_gate_rotorA_table_reg_40_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_93
clk_gate_rotorA_table_reg_41_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_92
clk_gate_rotorA_table_reg_43_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_91
clk_gate_rotorA_table_reg_45_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_90
clk_gate_rotorA_table_reg_46_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_89
clk_gate_rotorA_table_reg_48_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_88
clk_gate_rotorA_table_reg_50_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_87
clk_gate_rotorA_table_reg_51_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_86
clk_gate_rotorA_table_reg_53_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_85
clk_gate_rotorA_table_reg_55_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_84
clk_gate_rotorA_table_reg_56_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_83
clk_gate_rotorA_table_reg_58_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_82
clk_gate_rotorA_table_reg_59_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_81
clk_gate_rotorA_table_reg_5_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_114
clk_gate_rotorA_table_reg_61_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_80
clk_gate_rotorA_table_reg_62_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_79
